"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value"
"2015M01","Germany (until 1990 former territory of the FRG)","Iraq","Total","Total","Asylum applicant","Person","1 270"
"2015M01","Germany (until 1990 former territory of the FRG)","Iraq","Total","Total","First time applicant","Person","1 040"
"2015M01","Germany (until 1990 former territory of the FRG)","Syria","Total","Total","Asylum applicant","Person","6 435"
"2015M01","Germany (until 1990 former territory of the FRG)","Syria","Total","Total","First time applicant","Person","5 975"
"2015M01","Estonia","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M01","Estonia","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M01","Estonia","Afghanistan","Total","Total","Asylum applicant","Person","0"
"2015M01","Estonia","Afghanistan","Total","Total","First time applicant","Person","0"
"2015M01","Estonia","Iraq","Total","Total","Asylum applicant","Person","0"
"2015M01","Estonia","Iraq","Total","Total","First time applicant","Person","0"
"2015M01","Estonia","Syria","Total","Total","Asylum applicant","Person","0"
"2015M01","Estonia","Syria","Total","Total","First time applicant","Person","0"
"2015M01","Ireland","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M01","Ireland","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M01","Ireland","Afghanistan","Total","Total","Asylum applicant","Person","5"
"2015M01","Ireland","Afghanistan","Total","Total","First time applicant","Person","5"
"2015M01","Ireland","Iraq","Total","Total","Asylum applicant","Person","0"
"2015M01","Ireland","Iraq","Total","Total","First time applicant","Person","0"
"2015M01","Ireland","Syria","Total","Total","Asylum applicant","Person","0"
"2015M01","Ireland","Syria","Total","Total","First time applicant","Person","0"
"2015M01","Greece","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M01","Greece","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M01","Greece","Afghanistan","Total","Total","Asylum applicant","Person","180"
"2015M01","Greece","Afghanistan","Total","Total","First time applicant","Person","165"
"2015M01","Greece","Iraq","Total","Total","Asylum applicant","Person","20"
"2015M01","Greece","Iraq","Total","Total","First time applicant","Person","20"
"2015M01","Greece","Syria","Total","Total","Asylum applicant","Person","235"
"2015M01","Greece","Syria","Total","Total","First time applicant","Person","235"
"2015M01","Spain","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M01","Spain","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M01","Spain","Afghanistan","Total","Total","Asylum applicant","Person","0"
"2015M01","Spain","Afghanistan","Total","Total","First time applicant","Person","0"
"2015M01","Spain","Iraq","Total","Total","Asylum applicant","Person","5"
"2015M01","Spain","Iraq","Total","Total","First time applicant","Person","5"
"2015M01","Spain","Syria","Total","Total","Asylum applicant","Person","430"
"2015M01","Spain","Syria","Total","Total","First time applicant","Person","430"
"2015M01","France","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M01","France","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M01","France","Afghanistan","Total","Total","Asylum applicant","Person","40"
"2015M01","France","Afghanistan","Total","Total","First time applicant","Person","35"
"2015M01","France","Iraq","Total","Total","Asylum applicant","Person","85"
"2015M01","France","Iraq","Total","Total","First time applicant","Person","85"
"2015M01","France","Syria","Total","Total","Asylum applicant","Person","160"
"2015M01","France","Syria","Total","Total","First time applicant","Person","160"
"2015M01","Croatia","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M01","Croatia","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M01","Croatia","Afghanistan","Total","Total","Asylum applicant","Person","5"
"2015M01","Croatia","Afghanistan","Total","Total","First time applicant","Person","5"
"2015M01","Croatia","Iraq","Total","Total","Asylum applicant","Person","0"
"2015M01","Croatia","Iraq","Total","Total","First time applicant","Person","0"
"2015M01","Croatia","Syria","Total","Total","Asylum applicant","Person","5"
"2015M01","Croatia","Syria","Total","Total","First time applicant","Person","5"
"2015M01","Italy","European Union (28 countries)","Total","Total","Asylum applicant","Person",":"
"2015M01","Italy","European Union (28 countries)","Total","Total","First time applicant","Person",":"
"2015M01","Italy","Afghanistan","Total","Total","Asylum applicant","Person","290"
"2015M01","Italy","Afghanistan","Total","Total","First time applicant","Person","290"
"2015M01","Italy","Iraq","Total","Total","Asylum applicant","Person","45"
"2015M01","Italy","Iraq","Total","Total","First time applicant","Person","45"
"2015M01","Italy","Syria","Total","Total","Asylum applicant","Person","30"
"2015M01","Italy","Syria","Total","Total","First time applicant","Person","30"
"2015M01","Cyprus","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M01","Cyprus","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M01","Cyprus","Afghanistan","Total","Total","Asylum applicant","Person","0"
"2015M01","Cyprus","Afghanistan","Total","Total","First time applicant","Person","0"
"2015M01","Cyprus","Iraq","Total","Total","Asylum applicant","Person","5"
"2015M01","Cyprus","Iraq","Total","Total","First time applicant","Person","5"
"2015M01","Cyprus","Syria","Total","Total","Asylum applicant","Person","85"
"2015M01","Cyprus","Syria","Total","Total","First time applicant","Person","70"
"2015M01","Latvia","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M01","Latvia","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M01","Latvia","Afghanistan","Total","Total","Asylum applicant","Person","0"
"2015M01","Latvia","Afghanistan","Total","Total","First time applicant","Person","0"
"2015M01","Latvia","Iraq","Total","Total","Asylum applicant","Person","0"
"2015M01","Latvia","Iraq","Total","Total","First time applicant","Person","0"
"2015M01","Latvia","Syria","Total","Total","Asylum applicant","Person","0"
"2015M01","Latvia","Syria","Total","Total","First time applicant","Person","0"
"2015M01","Lithuania","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M01","Lithuania","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M01","Lithuania","Afghanistan","Total","Total","Asylum applicant","Person","0"
"2015M01","Lithuania","Afghanistan","Total","Total","First time applicant","Person","0"
"2015M01","Lithuania","Iraq","Total","Total","Asylum applicant","Person","0"
"2015M01","Lithuania","Iraq","Total","Total","First time applicant","Person","0"
"2015M01","Lithuania","Syria","Total","Total","Asylum applicant","Person","5"
"2015M01","Lithuania","Syria","Total","Total","First time applicant","Person","0"
"2015M01","Luxembourg","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M01","Luxembourg","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M01","Luxembourg","Afghanistan","Total","Total","Asylum applicant","Person","0"
"2015M01","Luxembourg","Afghanistan","Total","Total","First time applicant","Person","0"
"2015M01","Luxembourg","Iraq","Total","Total","Asylum applicant","Person","0"
"2015M01","Luxembourg","Iraq","Total","Total","First time applicant","Person","0"
"2015M01","Luxembourg","Syria","Total","Total","Asylum applicant","Person","0"
"2015M01","Luxembourg","Syria","Total","Total","First time applicant","Person","0"
"2015M01","Hungary","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M01","Hungary","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M01","Hungary","Afghanistan","Total","Total","Asylum applicant","Person","1 400"
"2015M01","Hungary","Afghanistan","Total","Total","First time applicant","Person","1 375"
"2015M01","Hungary","Iraq","Total","Total","Asylum applicant","Person","130"
"2015M01","Hungary","Iraq","Total","Total","First time applicant","Person","125"
"2015M01","Hungary","Syria","Total","Total","Asylum applicant","Person","555"
"2015M01","Hungary","Syria","Total","Total","First time applicant","Person","535"
"2015M01","Malta","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M01","Malta","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M01","Malta","Afghanistan","Total","Total","Asylum applicant","Person","0"
"2015M01","Malta","Afghanistan","Total","Total","First time applicant","Person","0"
"2015M01","Malta","Iraq","Total","Total","Asylum applicant","Person","0"
"2015M01","Malta","Iraq","Total","Total","First time applicant","Person","0"
"2015M01","Malta","Syria","Total","Total","Asylum applicant","Person","20"
"2015M01","Malta","Syria","Total","Total","First time applicant","Person","15"
"2015M01","Netherlands","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M01","Netherlands","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M01","Netherlands","Afghanistan","Total","Total","Asylum applicant","Person","75"
"2015M01","Netherlands","Afghanistan","Total","Total","First time applicant","Person","35"
"2015M01","Netherlands","Iraq","Total","Total","Asylum applicant","Person","80"
"2015M01","Netherlands","Iraq","Total","Total","First time applicant","Person","45"
"2015M01","Netherlands","Syria","Total","Total","Asylum applicant","Person","320"
"2015M01","Netherlands","Syria","Total","Total","First time applicant","Person","315"
"2015M01","Austria","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M01","Austria","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M01","Austria","Afghanistan","Total","Total","Asylum applicant","Person","635"
"2015M01","Austria","Afghanistan","Total","Total","First time applicant","Person","615"
"2015M01","Austria","Iraq","Total","Total","Asylum applicant","Person","290"
"2015M01","Austria","Iraq","Total","Total","First time applicant","Person","290"
"2015M01","Austria","Syria","Total","Total","Asylum applicant","Person","910"
"2015M01","Austria","Syria","Total","Total","First time applicant","Person","905"
"2015M01","Poland","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M01","Poland","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M01","Poland","Afghanistan","Total","Total","Asylum applicant","Person","0"
"2015M01","Poland","Afghanistan","Total","Total","First time applicant","Person","0"
"2015M01","Poland","Iraq","Total","Total","Asylum applicant","Person","5"
"2015M01","Poland","Iraq","Total","Total","First time applicant","Person","5"
"2015M01","Poland","Syria","Total","Total","Asylum applicant","Person","10"
"2015M01","Poland","Syria","Total","Total","First time applicant","Person","10"
"2015M01","Portugal","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M01","Portugal","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M01","Portugal","Afghanistan","Total","Total","Asylum applicant","Person","0"
"2015M01","Portugal","Afghanistan","Total","Total","First time applicant","Person","0"
"2015M01","Portugal","Iraq","Total","Total","Asylum applicant","Person","0"
"2015M01","Portugal","Iraq","Total","Total","First time applicant","Person","0"
"2015M01","Portugal","Syria","Total","Total","Asylum applicant","Person","0"
"2015M01","Portugal","Syria","Total","Total","First time applicant","Person","0"
"2015M01","Romania","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M01","Romania","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M01","Romania","Afghanistan","Total","Total","Asylum applicant","Person","5"
"2015M01","Romania","Afghanistan","Total","Total","First time applicant","Person","5"
"2015M01","Romania","Iraq","Total","Total","Asylum applicant","Person","10"
"2015M01","Romania","Iraq","Total","Total","First time applicant","Person","10"
"2015M01","Romania","Syria","Total","Total","Asylum applicant","Person","60"
"2015M01","Romania","Syria","Total","Total","First time applicant","Person","60"
"2015M01","Slovenia","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M01","Slovenia","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M01","Slovenia","Afghanistan","Total","Total","Asylum applicant","Person","0"
"2015M01","Slovenia","Afghanistan","Total","Total","First time applicant","Person","0"
"2015M01","Slovenia","Iraq","Total","Total","Asylum applicant","Person","5"
"2015M01","Slovenia","Iraq","Total","Total","First time applicant","Person","5"
"2015M01","Slovenia","Syria","Total","Total","Asylum applicant","Person","0"
"2015M01","Slovenia","Syria","Total","Total","First time applicant","Person","0"
"2015M01","Slovakia","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M01","Slovakia","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M01","Slovakia","Afghanistan","Total","Total","Asylum applicant","Person","0"
"2015M01","Slovakia","Afghanistan","Total","Total","First time applicant","Person","0"
"2015M01","Slovakia","Iraq","Total","Total","Asylum applicant","Person","0"
"2015M01","Slovakia","Iraq","Total","Total","First time applicant","Person","0"
"2015M01","Slovakia","Syria","Total","Total","Asylum applicant","Person","0"
"2015M01","Slovakia","Syria","Total","Total","First time applicant","Person","0"
"2015M01","Finland","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M01","Finland","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M01","Finland","Afghanistan","Total","Total","Asylum applicant","Person","10"
"2015M01","Finland","Afghanistan","Total","Total","First time applicant","Person","10"
"2015M01","Finland","Iraq","Total","Total","Asylum applicant","Person","105"
"2015M01","Finland","Iraq","Total","Total","First time applicant","Person","105"
"2015M01","Finland","Syria","Total","Total","Asylum applicant","Person","15"
"2015M01","Finland","Syria","Total","Total","First time applicant","Person","15"
"2015M01","Sweden","European Union (28 countries)","Total","Total","Asylum applicant","Person","5"
"2015M01","Sweden","European Union (28 countries)","Total","Total","First time applicant","Person","5"
"2015M01","Sweden","Afghanistan","Total","Total","Asylum applicant","Person","350"
"2015M01","Sweden","Afghanistan","Total","Total","First time applicant","Person","325"
"2015M01","Sweden","Iraq","Total","Total","Asylum applicant","Person","240"
"2015M01","Sweden","Iraq","Total","Total","First time applicant","Person","190"
"2015M01","Sweden","Syria","Total","Total","Asylum applicant","Person","1 570"
"2015M01","Sweden","Syria","Total","Total","First time applicant","Person","1 545"
"2015M01","United Kingdom","European Union (28 countries)","Total","Total","Asylum applicant","Person","15"
"2015M01","United Kingdom","European Union (28 countries)","Total","Total","First time applicant","Person","15"
"2015M01","United Kingdom","Afghanistan","Total","Total","Asylum applicant","Person","115"
"2015M01","United Kingdom","Afghanistan","Total","Total","First time applicant","Person","110"
"2015M01","United Kingdom","Iraq","Total","Total","Asylum applicant","Person","110"
"2015M01","United Kingdom","Iraq","Total","Total","First time applicant","Person","110"
"2015M01","United Kingdom","Syria","Total","Total","Asylum applicant","Person","260"
"2015M01","United Kingdom","Syria","Total","Total","First time applicant","Person","260"
"2015M01","Iceland","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M01","Iceland","European Union (28 countries)","Total","Total","First time applicant","Person",":"
"2015M01","Iceland","Afghanistan","Total","Total","Asylum applicant","Person","0"
"2015M01","Iceland","Afghanistan","Total","Total","First time applicant","Person",":"
"2015M01","Iceland","Iraq","Total","Total","Asylum applicant","Person","0"
"2015M01","Iceland","Iraq","Total","Total","First time applicant","Person",":"
"2015M01","Iceland","Syria","Total","Total","Asylum applicant","Person","0"
"2015M01","Iceland","Syria","Total","Total","First time applicant","Person",":"
"2015M01","Liechtenstein","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M01","Liechtenstein","European Union (28 countries)","Total","Total","First time applicant","Person",":"
"2015M01","Liechtenstein","Afghanistan","Total","Total","Asylum applicant","Person","0"
"2015M01","Liechtenstein","Afghanistan","Total","Total","First time applicant","Person",":"
"2015M01","Liechtenstein","Iraq","Total","Total","Asylum applicant","Person","0"
"2015M01","Liechtenstein","Iraq","Total","Total","First time applicant","Person",":"
"2015M01","Liechtenstein","Syria","Total","Total","Asylum applicant","Person","0"
"2015M01","Liechtenstein","Syria","Total","Total","First time applicant","Person",":"
"2015M01","Norway","European Union (28 countries)","Total","Total","Asylum applicant","Person","5"
"2015M01","Norway","European Union (28 countries)","Total","Total","First time applicant","Person","5"
"2015M01","Norway","Afghanistan","Total","Total","Asylum applicant","Person","70"
"2015M01","Norway","Afghanistan","Total","Total","First time applicant","Person","65"
"2015M01","Norway","Iraq","Total","Total","Asylum applicant","Person","25"
"2015M01","Norway","Iraq","Total","Total","First time applicant","Person","20"
"2015M01","Norway","Syria","Total","Total","Asylum applicant","Person","115"
"2015M01","Norway","Syria","Total","Total","First time applicant","Person","115"
"2015M01","Switzerland","European Union (28 countries)","Total","Total","Asylum applicant","Person","5"
"2015M01","Switzerland","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M01","Switzerland","Afghanistan","Total","Total","Asylum applicant","Person","90"
"2015M01","Switzerland","Afghanistan","Total","Total","First time applicant","Person","90"
"2015M01","Switzerland","Iraq","Total","Total","Asylum applicant","Person","25"
"2015M01","Switzerland","Iraq","Total","Total","First time applicant","Person","25"
"2015M01","Switzerland","Syria","Total","Total","Asylum applicant","Person","135"
"2015M01","Switzerland","Syria","Total","Total","First time applicant","Person","135"
"2015M02","European Union (28 countries)","European Union (28 countries)","Total","Total","Asylum applicant","Person","50"
"2015M02","European Union (28 countries)","European Union (28 countries)","Total","Total","First time applicant","Person","50"
"2015M02","European Union (28 countries)","Afghanistan","Total","Total","Asylum applicant","Person","4 415"
"2015M02","European Union (28 countries)","Afghanistan","Total","Total","First time applicant","Person","4 205"
"2015M02","European Union (28 countries)","Iraq","Total","Total","Asylum applicant","Person","2 755"
"2015M02","European Union (28 countries)","Iraq","Total","Total","First time applicant","Person","2 455"
"2015M02","European Union (28 countries)","Syria","Total","Total","Asylum applicant","Person","9 335"
"2015M02","European Union (28 countries)","Syria","Total","Total","First time applicant","Person","8 925"
"2015M02","Belgium","European Union (28 countries)","Total","Total","Asylum applicant","Person","5"
"2015M02","Belgium","European Union (28 countries)","Total","Total","First time applicant","Person","5"
"2015M02","Belgium","Afghanistan","Total","Total","Asylum applicant","Person","135"
"2015M02","Belgium","Afghanistan","Total","Total","First time applicant","Person","95"
"2015M02","Belgium","Iraq","Total","Total","Asylum applicant","Person","90"
"2015M02","Belgium","Iraq","Total","Total","First time applicant","Person","65"
"2015M02","Belgium","Syria","Total","Total","Asylum applicant","Person","235"
"2015M02","Belgium","Syria","Total","Total","First time applicant","Person","225"
"2015M02","Bulgaria","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M02","Bulgaria","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M02","Bulgaria","Afghanistan","Total","Total","Asylum applicant","Person","345"
"2015M02","Bulgaria","Afghanistan","Total","Total","First time applicant","Person","345"
"2015M02","Bulgaria","Iraq","Total","Total","Asylum applicant","Person","95"
"2015M02","Bulgaria","Iraq","Total","Total","First time applicant","Person","95"
"2015M02","Bulgaria","Syria","Total","Total","Asylum applicant","Person","465"
"2015M02","Bulgaria","Syria","Total","Total","First time applicant","Person","460"
"2015M02","Czech Republic","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M02","Czech Republic","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M02","Czech Republic","Afghanistan","Total","Total","Asylum applicant","Person","0"
"2015M02","Czech Republic","Afghanistan","Total","Total","First time applicant","Person","0"
"2015M02","Czech Republic","Iraq","Total","Total","Asylum applicant","Person","0"
"2015M02","Czech Republic","Iraq","Total","Total","First time applicant","Person","0"
"2015M02","Czech Republic","Syria","Total","Total","Asylum applicant","Person","5"
"2015M02","Czech Republic","Syria","Total","Total","First time applicant","Person","5"
"2015M02","Denmark","European Union (28 countries)","Total","Total","Asylum applicant","Person","5"
"2015M02","Denmark","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M02","Denmark","Afghanistan","Total","Total","Asylum applicant","Person","25"
"2015M02","Denmark","Afghanistan","Total","Total","First time applicant","Person","25"
"2015M02","Denmark","Iraq","Total","Total","Asylum applicant","Person","5"
"2015M02","Denmark","Iraq","Total","Total","First time applicant","Person","5"
"2015M02","Denmark","Syria","Total","Total","Asylum applicant","Person","140"
"2015M02","Denmark","Syria","Total","Total","First time applicant","Person","140"
"2015M02","Germany (until 1990 former territory of the FRG)","European Union (28 countries)","Total","Total","Asylum applicant","Person","10"
"2015M02","Germany (until 1990 former territory of the FRG)","European Union (28 countries)","Total","Total","First time applicant","Person","10"
"2015M02","Germany (until 1990 former territory of the FRG)","Afghanistan","Total","Total","Asylum applicant","Person","1 125"
"2015M02","Germany (until 1990 former territory of the FRG)","Afghanistan","Total","Total","First time applicant","Person","1 070"
"2015M02","Germany (until 1990 former territory of the FRG)","Iraq","Total","Total","Asylum applicant","Person","1 205"
"2015M02","Germany (until 1990 former territory of the FRG)","Iraq","Total","Total","First time applicant","Person","1 040"
"2015M02","Germany (until 1990 former territory of the FRG)","Syria","Total","Total","Asylum applicant","Person","4 850"
"2015M02","Germany (until 1990 former territory of the FRG)","Syria","Total","Total","First time applicant","Person","4 550"
"2015M02","Estonia","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M02","Estonia","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M02","Estonia","Afghanistan","Total","Total","Asylum applicant","Person","0"
"2015M02","Estonia","Afghanistan","Total","Total","First time applicant","Person","0"
"2015M02","Estonia","Iraq","Total","Total","Asylum applicant","Person","0"
"2015M02","Estonia","Iraq","Total","Total","First time applicant","Person","0"
"2015M02","Estonia","Syria","Total","Total","Asylum applicant","Person","0"
"2015M02","Estonia","Syria","Total","Total","First time applicant","Person","0"
"2015M02","Ireland","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M02","Ireland","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M02","Ireland","Afghanistan","Total","Total","Asylum applicant","Person","10"
"2015M02","Ireland","Afghanistan","Total","Total","First time applicant","Person","10"
"2015M02","Ireland","Iraq","Total","Total","Asylum applicant","Person","0"
"2015M02","Ireland","Iraq","Total","Total","First time applicant","Person","0"
"2015M02","Ireland","Syria","Total","Total","Asylum applicant","Person","0"
"2015M02","Ireland","Syria","Total","Total","First time applicant","Person","0"
"2015M02","Greece","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M02","Greece","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M02","Greece","Afghanistan","Total","Total","Asylum applicant","Person","190"
"2015M02","Greece","Afghanistan","Total","Total","First time applicant","Person","185"
"2015M02","Greece","Iraq","Total","Total","Asylum applicant","Person","15"
"2015M02","Greece","Iraq","Total","Total","First time applicant","Person","15"
"2015M02","Greece","Syria","Total","Total","Asylum applicant","Person","240"
"2015M02","Greece","Syria","Total","Total","First time applicant","Person","225"
"2015M02","Spain","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M02","Spain","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M02","Spain","Afghanistan","Total","Total","Asylum applicant","Person","0"
"2015M02","Spain","Afghanistan","Total","Total","First time applicant","Person","0"
"2015M02","Spain","Iraq","Total","Total","Asylum applicant","Person","20"
"2015M02","Spain","Iraq","Total","Total","First time applicant","Person","20"
"2015M02","Spain","Syria","Total","Total","Asylum applicant","Person","330"
"2015M02","Spain","Syria","Total","Total","First time applicant","Person","330"
"2015M02","France","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M02","France","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M02","France","Afghanistan","Total","Total","Asylum applicant","Person","55"
"2015M02","France","Afghanistan","Total","Total","First time applicant","Person","50"
"2015M02","France","Iraq","Total","Total","Asylum applicant","Person","395"
"2015M02","France","Iraq","Total","Total","First time applicant","Person","395"
"2015M02","France","Syria","Total","Total","Asylum applicant","Person","300"
"2015M02","France","Syria","Total","Total","First time applicant","Person","300"
"2015M02","Croatia","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M02","Croatia","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M02","Croatia","Afghanistan","Total","Total","Asylum applicant","Person","0"
"2015M02","Croatia","Afghanistan","Total","Total","First time applicant","Person","0"
"2015M02","Croatia","Iraq","Total","Total","Asylum applicant","Person","0"
"2015M02","Croatia","Iraq","Total","Total","First time applicant","Person","0"
"2015M02","Croatia","Syria","Total","Total","Asylum applicant","Person","5"
"2015M02","Croatia","Syria","Total","Total","First time applicant","Person","5"
"2015M02","Italy","European Union (28 countries)","Total","Total","Asylum applicant","Person",":"
"2015M02","Italy","European Union (28 countries)","Total","Total","First time applicant","Person",":"
"2015M02","Italy","Afghanistan","Total","Total","Asylum applicant","Person","405"
"2015M02","Italy","Afghanistan","Total","Total","First time applicant","Person","405"
"2015M02","Italy","Iraq","Total","Total","Asylum applicant","Person","40"
"2015M02","Italy","Iraq","Total","Total","First time applicant","Person","40"
"2015M02","Italy","Syria","Total","Total","Asylum applicant","Person","25"
"2015M02","Italy","Syria","Total","Total","First time applicant","Person","25"
"2015M02","Cyprus","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M02","Cyprus","European Union (28 countries)","Total","Total","First time applicant","Person","0"
