"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value","Flag and Footnotes"
"2015M01","Hungary","Kosovo (under United Nations Security Council Resolution 1244/99)","Females","Total","Asylum applicant","Person","2,765",""
"2015M01","Hungary","Russia","Males","Total","Asylum applicant","Person","0",""
"2015M01","Hungary","Russia","Females","Total","Asylum applicant","Person","0",""
"2015M01","Hungary","Extra EU-28","Males","Total","Asylum applicant","Person","8,765",""
"2015M01","Hungary","Extra EU-28","Females","Total","Asylum applicant","Person","3,165",""
"2015M01","Hungary","Eritrea","Males","Total","Asylum applicant","Person","10",""
"2015M01","Hungary","Eritrea","Females","Total","Asylum applicant","Person","5",""
"2015M01","Hungary","Afghanistan","Males","Total","Asylum applicant","Person","1,185",""
"2015M01","Hungary","Afghanistan","Females","Total","Asylum applicant","Person","220",""
"2015M01","Hungary","Pakistan","Males","Total","Asylum applicant","Person","70",""
"2015M01","Hungary","Pakistan","Females","Total","Asylum applicant","Person","0",""
"2015M01","Hungary","Iraq","Males","Total","Asylum applicant","Person","110",""
"2015M01","Hungary","Iraq","Females","Total","Asylum applicant","Person","20",""
"2015M01","Hungary","Syria","Males","Total","Asylum applicant","Person","495",""
"2015M01","Hungary","Syria","Females","Total","Asylum applicant","Person","60",""
"2015M01","Netherlands","Albania","Males","Total","Asylum applicant","Person","5",""
"2015M01","Netherlands","Albania","Females","Total","Asylum applicant","Person","0",""
"2015M01","Netherlands","Serbia","Males","Total","Asylum applicant","Person","15",""
"2015M01","Netherlands","Serbia","Females","Total","Asylum applicant","Person","10",""
"2015M01","Netherlands","Kosovo (under United Nations Security Council Resolution 1244/99)","Males","Total","Asylum applicant","Person","5",""
"2015M01","Netherlands","Kosovo (under United Nations Security Council Resolution 1244/99)","Females","Total","Asylum applicant","Person","5",""
"2015M01","Netherlands","Russia","Males","Total","Asylum applicant","Person","10",""
"2015M01","Netherlands","Russia","Females","Total","Asylum applicant","Person","5",""
"2015M01","Netherlands","Extra EU-28","Males","Total","Asylum applicant","Person","735",""
"2015M01","Netherlands","Extra EU-28","Females","Total","Asylum applicant","Person","315",""
"2015M01","Netherlands","Eritrea","Males","Total","Asylum applicant","Person","15",""
"2015M01","Netherlands","Eritrea","Females","Total","Asylum applicant","Person","15",""
"2015M01","Netherlands","Afghanistan","Males","Total","Asylum applicant","Person","45",""
"2015M01","Netherlands","Afghanistan","Females","Total","Asylum applicant","Person","25",""
"2015M01","Netherlands","Pakistan","Males","Total","Asylum applicant","Person","30",""
"2015M01","Netherlands","Pakistan","Females","Total","Asylum applicant","Person","10",""
"2015M01","Netherlands","Iraq","Males","Total","Asylum applicant","Person","50",""
"2015M01","Netherlands","Iraq","Females","Total","Asylum applicant","Person","30",""
"2015M01","Netherlands","Syria","Males","Total","Asylum applicant","Person","255",""
"2015M01","Netherlands","Syria","Females","Total","Asylum applicant","Person","60",""
"2015M01","Slovenia","Albania","Males","Total","Asylum applicant","Person","0",""
"2015M01","Slovenia","Albania","Females","Total","Asylum applicant","Person","0",""
"2015M01","Slovenia","Serbia","Males","Total","Asylum applicant","Person","0",""
"2015M01","Slovenia","Serbia","Females","Total","Asylum applicant","Person","0",""
"2015M01","Slovenia","Kosovo (under United Nations Security Council Resolution 1244/99)","Males","Total","Asylum applicant","Person","0",""
"2015M01","Slovenia","Kosovo (under United Nations Security Council Resolution 1244/99)","Females","Total","Asylum applicant","Person","0",""
"2015M01","Slovenia","Russia","Males","Total","Asylum applicant","Person","0",""
"2015M01","Slovenia","Russia","Females","Total","Asylum applicant","Person","0",""
"2015M01","Slovenia","Extra EU-28","Males","Total","Asylum applicant","Person","10",""
"2015M01","Slovenia","Extra EU-28","Females","Total","Asylum applicant","Person","5",""
"2015M01","Slovenia","Eritrea","Males","Total","Asylum applicant","Person","0",""
"2015M01","Slovenia","Eritrea","Females","Total","Asylum applicant","Person","0",""
"2015M01","Slovenia","Afghanistan","Males","Total","Asylum applicant","Person","0",""
"2015M01","Slovenia","Afghanistan","Females","Total","Asylum applicant","Person","0",""
"2015M01","Slovenia","Pakistan","Males","Total","Asylum applicant","Person","0",""
"2015M01","Slovenia","Pakistan","Females","Total","Asylum applicant","Person","0",""
"2015M01","Slovenia","Iraq","Males","Total","Asylum applicant","Person","0",""
"2015M01","Slovenia","Iraq","Females","Total","Asylum applicant","Person","0",""
"2015M01","Slovenia","Syria","Males","Total","Asylum applicant","Person","0",""
"2015M01","Slovenia","Syria","Females","Total","Asylum applicant","Person","0",""
"2015M01","Sweden","Albania","Males","Total","Asylum applicant","Person","60",""
"2015M01","Sweden","Albania","Females","Total","Asylum applicant","Person","40",""
"2015M01","Sweden","Serbia","Males","Total","Asylum applicant","Person","75",""
"2015M01","Sweden","Serbia","Females","Total","Asylum applicant","Person","55",""
"2015M01","Sweden","Kosovo (under United Nations Security Council Resolution 1244/99)","Males","Total","Asylum applicant","Person","185",""
"2015M01","Sweden","Kosovo (under United Nations Security Council Resolution 1244/99)","Females","Total","Asylum applicant","Person","100",""
"2015M01","Sweden","Russia","Males","Total","Asylum applicant","Person","30",""
"2015M01","Sweden","Russia","Females","Total","Asylum applicant","Person","10",""
"2015M01","Sweden","Extra EU-28","Males","Total","Asylum applicant","Person","3,315",""
"2015M01","Sweden","Extra EU-28","Females","Total","Asylum applicant","Person","1,575",""
"2015M01","Sweden","Eritrea","Males","Total","Asylum applicant","Person","130",""
"2015M01","Sweden","Eritrea","Females","Total","Asylum applicant","Person","90",""
"2015M01","Sweden","Afghanistan","Males","Total","Asylum applicant","Person","280",""
"2015M01","Sweden","Afghanistan","Females","Total","Asylum applicant","Person","70",""
"2015M01","Sweden","Pakistan","Males","Total","Asylum applicant","Person","20",""
"2015M01","Sweden","Pakistan","Females","Total","Asylum applicant","Person","15",""
"2015M01","Sweden","Iraq","Males","Total","Asylum applicant","Person","155",""
"2015M01","Sweden","Iraq","Females","Total","Asylum applicant","Person","85",""
"2015M01","Sweden","Syria","Males","Total","Asylum applicant","Person","1,105",""
"2015M01","Sweden","Syria","Females","Total","Asylum applicant","Person","465",""
"2015M01","United Kingdom","Albania","Males","Total","Asylum applicant","Person","95",""
"2015M01","United Kingdom","Albania","Females","Total","Asylum applicant","Person","45",""
"2015M01","United Kingdom","Serbia","Males","Total","Asylum applicant","Person","0",""
"2015M01","United Kingdom","Serbia","Females","Total","Asylum applicant","Person","0",""
"2015M01","United Kingdom","Kosovo (under United Nations Security Council Resolution 1244/99)","Males","Total","Asylum applicant","Person","0",""
"2015M01","United Kingdom","Kosovo (under United Nations Security Council Resolution 1244/99)","Females","Total","Asylum applicant","Person","0",""
"2015M01","United Kingdom","Russia","Males","Total","Asylum applicant","Person","10",""
"2015M01","United Kingdom","Russia","Females","Total","Asylum applicant","Person","10",""
"2015M01","United Kingdom","Extra EU-28","Males","Total","Asylum applicant","Person","1,875",""
"2015M01","United Kingdom","Extra EU-28","Females","Total","Asylum applicant","Person","895",""
"2015M01","United Kingdom","Eritrea","Males","Total","Asylum applicant","Person","210",""
"2015M01","United Kingdom","Eritrea","Females","Total","Asylum applicant","Person","95",""
"2015M01","United Kingdom","Afghanistan","Males","Total","Asylum applicant","Person","90",""
"2015M01","United Kingdom","Afghanistan","Females","Total","Asylum applicant","Person","25",""
"2015M01","United Kingdom","Pakistan","Males","Total","Asylum applicant","Person","190",""
"2015M01","United Kingdom","Pakistan","Females","Total","Asylum applicant","Person","75",""
"2015M01","United Kingdom","Iraq","Males","Total","Asylum applicant","Person","65",""
"2015M01","United Kingdom","Iraq","Females","Total","Asylum applicant","Person","45",""
"2015M01","United Kingdom","Syria","Males","Total","Asylum applicant","Person","220",""
"2015M01","United Kingdom","Syria","Females","Total","Asylum applicant","Person","40",""
"2015M01","Switzerland","Albania","Males","Total","Asylum applicant","Person","5",""
"2015M01","Switzerland","Albania","Females","Total","Asylum applicant","Person","5",""
"2015M01","Switzerland","Serbia","Males","Total","Asylum applicant","Person","20",""
"2015M01","Switzerland","Serbia","Females","Total","Asylum applicant","Person","5",""
"2015M01","Switzerland","Kosovo (under United Nations Security Council Resolution 1244/99)","Males","Total","Asylum applicant","Person","70",""
"2015M01","Switzerland","Kosovo (under United Nations Security Council Resolution 1244/99)","Females","Total","Asylum applicant","Person","45",""
"2015M01","Switzerland","Russia","Males","Total","Asylum applicant","Person","10",""
"2015M01","Switzerland","Russia","Females","Total","Asylum applicant","Person","10",""
"2015M01","Switzerland","Extra EU-28","Males","Total","Asylum applicant","Person","1,115",""
"2015M01","Switzerland","Extra EU-28","Females","Total","Asylum applicant","Person","445",""
"2015M01","Switzerland","Eritrea","Males","Total","Asylum applicant","Person","80",""
"2015M01","Switzerland","Eritrea","Females","Total","Asylum applicant","Person","70",""
"2015M01","Switzerland","Afghanistan","Males","Total","Asylum applicant","Person","75",""
"2015M01","Switzerland","Afghanistan","Females","Total","Asylum applicant","Person","15",""
"2015M01","Switzerland","Pakistan","Males","Total","Asylum applicant","Person","15",""
"2015M01","Switzerland","Pakistan","Females","Total","Asylum applicant","Person","5",""
"2015M01","Switzerland","Iraq","Males","Total","Asylum applicant","Person","15",""
"2015M01","Switzerland","Iraq","Females","Total","Asylum applicant","Person","10",""
"2015M01","Switzerland","Syria","Males","Total","Asylum applicant","Person","85",""
"2015M01","Switzerland","Syria","Females","Total","Asylum applicant","Person","50",""
"2015M02","Belgium","Albania","Males","Total","Asylum applicant","Person","30",""
"2015M02","Belgium","Albania","Females","Total","Asylum applicant","Person","25",""
"2015M02","Belgium","Serbia","Males","Total","Asylum applicant","Person","10",""
"2015M02","Belgium","Serbia","Females","Total","Asylum applicant","Person","5",""
"2015M02","Belgium","Kosovo (under United Nations Security Council Resolution 1244/99)","Males","Total","Asylum applicant","Person","85",""
"2015M02","Belgium","Kosovo (under United Nations Security Council Resolution 1244/99)","Females","Total","Asylum applicant","Person","45",""
"2015M02","Belgium","Russia","Males","Total","Asylum applicant","Person","70",""
"2015M02","Belgium","Russia","Females","Total","Asylum applicant","Person","70",""
"2015M02","Belgium","Extra EU-28","Males","Total","Asylum applicant","Person","1,010",""
"2015M02","Belgium","Extra EU-28","Females","Total","Asylum applicant","Person","630",""
"2015M02","Belgium","Eritrea","Males","Total","Asylum applicant","Person","5",""
"2015M02","Belgium","Eritrea","Females","Total","Asylum applicant","Person","5",""
"2015M02","Belgium","Afghanistan","Males","Total","Asylum applicant","Person","110",""
"2015M02","Belgium","Afghanistan","Females","Total","Asylum applicant","Person","25",""
"2015M02","Belgium","Pakistan","Males","Total","Asylum applicant","Person","20",""
"2015M02","Belgium","Pakistan","Females","Total","Asylum applicant","Person","10",""
"2015M02","Belgium","Iraq","Males","Total","Asylum applicant","Person","65",""
"2015M02","Belgium","Iraq","Females","Total","Asylum applicant","Person","25",""
"2015M02","Belgium","Syria","Males","Total","Asylum applicant","Person","140",""
"2015M02","Belgium","Syria","Females","Total","Asylum applicant","Person","95",""
"2015M02","Germany (until 1990 former territory of the FRG)","Albania","Males","Total","Asylum applicant","Person","1,130",""
"2015M02","Germany (until 1990 former territory of the FRG)","Albania","Females","Total","Asylum applicant","Person","665",""
"2015M02","Germany (until 1990 former territory of the FRG)","Serbia","Males","Total","Asylum applicant","Person","1,440",""
"2015M02","Germany (until 1990 former territory of the FRG)","Serbia","Females","Total","Asylum applicant","Person","1,410",""
"2015M02","Germany (until 1990 former territory of the FRG)","Kosovo (under United Nations Security Council Resolution 1244/99)","Males","Total","Asylum applicant","Person","5,125",""
"2015M02","Germany (until 1990 former territory of the FRG)","Kosovo (under United Nations Security Council Resolution 1244/99)","Females","Total","Asylum applicant","Person","2,590",""
"2015M02","Germany (until 1990 former territory of the FRG)","Russia","Males","Total","Asylum applicant","Person","180",""
"2015M02","Germany (until 1990 former territory of the FRG)","Russia","Females","Total","Asylum applicant","Person","215",""
"2015M02","Germany (until 1990 former territory of the FRG)","Extra EU-28","Males","Total","Asylum applicant","Person","17,290",""
"2015M02","Germany (until 1990 former territory of the FRG)","Extra EU-28","Females","Total","Asylum applicant","Person","8,765",""
"2015M02","Germany (until 1990 former territory of the FRG)","Eritrea","Males","Total","Asylum applicant","Person","270",""
"2015M02","Germany (until 1990 former territory of the FRG)","Eritrea","Females","Total","Asylum applicant","Person","85",""
"2015M02","Germany (until 1990 former territory of the FRG)","Afghanistan","Males","Total","Asylum applicant","Person","720",""
"2015M02","Germany (until 1990 former territory of the FRG)","Afghanistan","Females","Total","Asylum applicant","Person","275",""
"2015M02","Germany (until 1990 former territory of the FRG)","Pakistan","Males","Total","Asylum applicant","Person","305",""
"2015M02","Germany (until 1990 former territory of the FRG)","Pakistan","Females","Total","Asylum applicant","Person","55",""
"2015M02","Germany (until 1990 former territory of the FRG)","Iraq","Males","Total","Asylum applicant","Person","630",""
"2015M02","Germany (until 1990 former territory of the FRG)","Iraq","Females","Total","Asylum applicant","Person","330",""
"2015M02","Germany (until 1990 former territory of the FRG)","Syria","Males","Total","Asylum applicant","Person","3,270",""
"2015M02","Germany (until 1990 former territory of the FRG)","Syria","Females","Total","Asylum applicant","Person","965",""
"2015M02","France","Albania","Males","Total","Asylum applicant","Person","105",""
"2015M02","France","Albania","Females","Total","Asylum applicant","Person","80",""
"2015M02","France","Serbia","Males","Total","Asylum applicant","Person","20",""
"2015M02","France","Serbia","Females","Total","Asylum applicant","Person","15",""
"2015M02","France","Kosovo (under United Nations Security Council Resolution 1244/99)","Males","Total","Asylum applicant","Person","370",""
"2015M02","France","Kosovo (under United Nations Security Council Resolution 1244/99)","Females","Total","Asylum applicant","Person","255",""
"2015M02","France","Russia","Males","Total","Asylum applicant","Person","170",""
"2015M02","France","Russia","Females","Total","Asylum applicant","Person","185",""
"2015M02","France","Extra EU-28","Males","Total","Asylum applicant","Person","3,340",""
"2015M02","France","Extra EU-28","Females","Total","Asylum applicant","Person","2,285",""
"2015M02","France","Eritrea","Males","Total","Asylum applicant","Person","50",""
"2015M02","France","Eritrea","Females","Total","Asylum applicant","Person","25",""
"2015M02","France","Afghanistan","Males","Total","Asylum applicant","Person","45",""
"2015M02","France","Afghanistan","Females","Total","Asylum applicant","Person","10",""
"2015M02","France","Pakistan","Males","Total","Asylum applicant","Person","135",""
"2015M02","France","Pakistan","Females","Total","Asylum applicant","Person","10",""
"2015M02","France","Iraq","Males","Total","Asylum applicant","Person","190",""
"2015M02","France","Iraq","Females","Total","Asylum applicant","Person","200",""
"2015M02","France","Syria","Males","Total","Asylum applicant","Person","155",""
"2015M02","France","Syria","Females","Total","Asylum applicant","Person","145",""
"2015M02","Italy","Albania","Males","Total","Asylum applicant","Person","30",""
"2015M02","Italy","Albania","Females","Total","Asylum applicant","Person","10",""
"2015M02","Italy","Serbia","Males","Total","Asylum applicant","Person","5",""
"2015M02","Italy","Serbia","Females","Total","Asylum applicant","Person","5",""
"2015M02","Italy","Kosovo (under United Nations Security Council Resolution 1244/99)","Males","Total","Asylum applicant","Person","15",""
"2015M02","Italy","Kosovo (under United Nations Security Council Resolution 1244/99)","Females","Total","Asylum applicant","Person","0",""
"2015M02","Italy","Russia","Males","Total","Asylum applicant","Person","5",""
"2015M02","Italy","Russia","Females","Total","Asylum applicant","Person","0",""
"2015M02","Italy","Extra EU-28","Males","Total","Asylum applicant","Person","4,565",""
"2015M02","Italy","Extra EU-28","Females","Total","Asylum applicant","Person","575",""
"2015M02","Italy","Eritrea","Males","Total","Asylum applicant","Person","25",""
"2015M02","Italy","Eritrea","Females","Total","Asylum applicant","Person","15",""
"2015M02","Italy","Afghanistan","Males","Total","Asylum applicant","Person","395",""
"2015M02","Italy","Afghanistan","Females","Total","Asylum applicant","Person","10",""
"2015M02","Italy","Pakistan","Males","Total","Asylum applicant","Person","440",""
"2015M02","Italy","Pakistan","Females","Total","Asylum applicant","Person","5",""
"2015M02","Italy","Iraq","Males","Total","Asylum applicant","Person","35",""
"2015M02","Italy","Iraq","Females","Total","Asylum applicant","Person","5",""
"2015M02","Italy","Syria","Males","Total","Asylum applicant","Person","20",""
"2015M02","Italy","Syria","Females","Total","Asylum applicant","Person","5",""
"2015M02","Hungary","Albania","Males","Total","Asylum applicant","Person","30",""
"2015M02","Hungary","Albania","Females","Total","Asylum applicant","Person","5",""
"2015M02","Hungary","Serbia","Males","Total","Asylum applicant","Person","20",""
"2015M02","Hungary","Serbia","Females","Total","Asylum applicant","Person","10",""
"2015M02","Hungary","Kosovo (under United Nations Security Council Resolution 1244/99)","Males","Total","Asylum applicant","Person","9,435",""
"2015M02","Hungary","Kosovo (under United Nations Security Council Resolution 1244/99)","Females","Total","Asylum applicant","Person","4,195",""
"2015M02","Hungary","Russia","Males","Total","Asylum applicant","Person","0",""
"2015M02","Hungary","Russia","Females","Total","Asylum applicant","Person","0",""
"2015M02","Hungary","Extra EU-28","Males","Total","Asylum applicant","Person","12,100",""
"2015M02","Hungary","Extra EU-28","Females","Total","Asylum applicant","Person","4,595",""
"2015M02","Hungary","Eritrea","Males","Total","Asylum applicant","Person","0",""
"2015M02","Hungary","Eritrea","Females","Total","Asylum applicant","Person","0",""
"2015M02","Hungary","Afghanistan","Males","Total","Asylum applicant","Person","1,065",""
"2015M02","Hungary","Afghanistan","Females","Total","Asylum applicant","Person","155",""
"2015M02","Hungary","Pakistan","Males","Total","Asylum applicant","Person","145",""
"2015M02","Hungary","Pakistan","Females","Total","Asylum applicant","Person","5",""
"2015M02","Hungary","Iraq","Males","Total","Asylum applicant","Person","195",""
"2015M02","Hungary","Iraq","Females","Total","Asylum applicant","Person","35",""
"2015M02","Hungary","Syria","Males","Total","Asylum applicant","Person","585",""
"2015M02","Hungary","Syria","Females","Total","Asylum applicant","Person","40",""
"2015M02","Netherlands","Albania","Males","Total","Asylum applicant","Person","10",""
"2015M02","Netherlands","Albania","Females","Total","Asylum applicant","Person","5",""
"2015M02","Netherlands","Serbia","Males","Total","Asylum applicant","Person","10",""
"2015M02","Netherlands","Serbia","Females","Total","Asylum applicant","Person","10",""
"2015M02","Netherlands","Kosovo (under United Nations Security Council Resolution 1244/99)","Males","Total","Asylum applicant","Person","10",""
"2015M02","Netherlands","Kosovo (under United Nations Security Council Resolution 1244/99)","Females","Total","Asylum applicant","Person","10",""
"2015M02","Netherlands","Russia","Males","Total","Asylum applicant","Person","15",""
"2015M02","Netherlands","Russia","Females","Total","Asylum applicant","Person","5",""
"2015M02","Netherlands","Extra EU-28","Males","Total","Asylum applicant","Person","650",""
"2015M02","Netherlands","Extra EU-28","Females","Total","Asylum applicant","Person","320",""
"2015M02","Netherlands","Eritrea","Males","Total","Asylum applicant","Person","15",""
"2015M02","Netherlands","Eritrea","Females","Total","Asylum applicant","Person","10",""
"2015M02","Netherlands","Afghanistan","Males","Total","Asylum applicant","Person","45",""
"2015M02","Netherlands","Afghanistan","Females","Total","Asylum applicant","Person","25",""
"2015M02","Netherlands","Pakistan","Males","Total","Asylum applicant","Person","10",""
"2015M02","Netherlands","Pakistan","Females","Total","Asylum applicant","Person","10",""
"2015M02","Netherlands","Iraq","Males","Total","Asylum applicant","Person","55",""
"2015M02","Netherlands","Iraq","Females","Total","Asylum applicant","Person","25",""
"2015M02","Netherlands","Syria","Males","Total","Asylum applicant","Person","150",""
"2015M02","Netherlands","Syria","Females","Total","Asylum applicant","Person","45",""
"2015M02","Slovenia","Albania","Males","Total","Asylum applicant","Person","0",""
"2015M02","Slovenia","Albania","Females","Total","Asylum applicant","Person","0",""
"2015M02","Slovenia","Serbia","Males","Total","Asylum applicant","Person","0",""
"2015M02","Slovenia","Serbia","Females","Total","Asylum applicant","Person","0",""
"2015M02","Slovenia","Kosovo (under United Nations Security Council Resolution 1244/99)","Males","Total","Asylum applicant","Person","0",""
"2015M02","Slovenia","Kosovo (under United Nations Security Council Resolution 1244/99)","Females","Total","Asylum applicant","Person","0",""
"2015M02","Slovenia","Russia","Males","Total","Asylum applicant","Person","0",""
"2015M02","Slovenia","Russia","Females","Total","Asylum applicant","Person","0",""
"2015M02","Slovenia","Extra EU-28","Males","Total","Asylum applicant","Person","10",""
"2015M02","Slovenia","Extra EU-28","Females","Total","Asylum applicant","Person","5",""
"2015M02","Slovenia","Eritrea","Males","Total","Asylum applicant","Person","0",""
"2015M02","Slovenia","Eritrea","Females","Total","Asylum applicant","Person","0",""
"2015M02","Slovenia","Afghanistan","Males","Total","Asylum applicant","Person","5",""
"2015M02","Slovenia","Afghanistan","Females","Total","Asylum applicant","Person","0",""
"2015M02","Slovenia","Pakistan","Males","Total","Asylum applicant","Person","0",""
"2015M02","Slovenia","Pakistan","Females","Total","Asylum applicant","Person","0",""
