"TIME","GEO","CITIZEN","SEX","AGE","DECISION","UNIT","Value","Flag and Footnotes"
"2014Q1","Hungary","Eritrea","Total","Total","Total positive decisions","Person","10",""
"2014Q1","Hungary","Eritrea","Total","Total","Rejected","Person","0",""
"2014Q1","Hungary","Afghanistan","Total","Total","Total","Person","80",""
"2014Q1","Hungary","Afghanistan","Total","Total","Total positive decisions","Person","15",""
"2014Q1","Hungary","Afghanistan","Total","Total","Rejected","Person","60",""
"2014Q1","Hungary","Pakistan","Total","Total","Total","Person","75",""
"2014Q1","Hungary","Pakistan","Total","Total","Total positive decisions","Person","0",""
"2014Q1","Hungary","Pakistan","Total","Total","Rejected","Person","75",""
"2014Q1","Hungary","Iraq","Total","Total","Total","Person","5",""
"2014Q1","Hungary","Iraq","Total","Total","Total positive decisions","Person","5",""
"2014Q1","Hungary","Iraq","Total","Total","Rejected","Person","0",""
"2014Q1","Hungary","Syria","Total","Total","Total","Person","35",""
"2014Q1","Hungary","Syria","Total","Total","Total positive decisions","Person","35",""
"2014Q1","Hungary","Syria","Total","Total","Rejected","Person","0",""
"2014Q1","Hungary","Total","Total","Total","Total","Person","655",""
"2014Q1","Hungary","Total","Total","Total","Total positive decisions","Person","95",""
"2014Q1","Hungary","Total","Total","Total","Rejected","Person","560",""
"2014Q1","Netherlands","Albania","Total","Total","Total","Person","15",""
"2014Q1","Netherlands","Albania","Total","Total","Total positive decisions","Person","0",""
"2014Q1","Netherlands","Albania","Total","Total","Rejected","Person","15",""
"2014Q1","Netherlands","Serbia","Total","Total","Total","Person","35",""
"2014Q1","Netherlands","Serbia","Total","Total","Total positive decisions","Person","0",""
"2014Q1","Netherlands","Serbia","Total","Total","Rejected","Person","35",""
"2014Q1","Netherlands","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total","Person","10",""
"2014Q1","Netherlands","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total positive decisions","Person","0",""
"2014Q1","Netherlands","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Rejected","Person","10",""
"2014Q1","Netherlands","Russia","Total","Total","Total","Person","50",""
"2014Q1","Netherlands","Russia","Total","Total","Total positive decisions","Person","5",""
"2014Q1","Netherlands","Russia","Total","Total","Rejected","Person","45",""
"2014Q1","Netherlands","Extra EU-28","Total","Total","Total","Person","3,250",""
"2014Q1","Netherlands","Extra EU-28","Total","Total","Total positive decisions","Person","1,735",""
"2014Q1","Netherlands","Extra EU-28","Total","Total","Rejected","Person","1,510",""
"2014Q1","Netherlands","Eritrea","Total","Total","Total","Person","325",""
"2014Q1","Netherlands","Eritrea","Total","Total","Total positive decisions","Person","260",""
"2014Q1","Netherlands","Eritrea","Total","Total","Rejected","Person","65",""
"2014Q1","Netherlands","Afghanistan","Total","Total","Total","Person","235",""
"2014Q1","Netherlands","Afghanistan","Total","Total","Total positive decisions","Person","125",""
"2014Q1","Netherlands","Afghanistan","Total","Total","Rejected","Person","110",""
"2014Q1","Netherlands","Pakistan","Total","Total","Total","Person","25",""
"2014Q1","Netherlands","Pakistan","Total","Total","Total positive decisions","Person","5",""
"2014Q1","Netherlands","Pakistan","Total","Total","Rejected","Person","20",""
"2014Q1","Netherlands","Iraq","Total","Total","Total","Person","215",""
"2014Q1","Netherlands","Iraq","Total","Total","Total positive decisions","Person","85",""
"2014Q1","Netherlands","Iraq","Total","Total","Rejected","Person","130",""
"2014Q1","Netherlands","Syria","Total","Total","Total","Person","780",""
"2014Q1","Netherlands","Syria","Total","Total","Total positive decisions","Person","660",""
"2014Q1","Netherlands","Syria","Total","Total","Rejected","Person","120",""
"2014Q1","Netherlands","Total","Total","Total","Total","Person","3,255",""
"2014Q1","Netherlands","Total","Total","Total","Total positive decisions","Person","1,735",""
"2014Q1","Netherlands","Total","Total","Total","Rejected","Person","1,515",""
"2014Q1","Slovenia","Albania","Total","Total","Total","Person","0",""
"2014Q1","Slovenia","Albania","Total","Total","Total positive decisions","Person","0",""
"2014Q1","Slovenia","Albania","Total","Total","Rejected","Person","0",""
"2014Q1","Slovenia","Serbia","Total","Total","Total","Person","0",""
"2014Q1","Slovenia","Serbia","Total","Total","Total positive decisions","Person","0",""
"2014Q1","Slovenia","Serbia","Total","Total","Rejected","Person","0",""
"2014Q1","Slovenia","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total","Person","0",""
"2014Q1","Slovenia","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total positive decisions","Person","0",""
"2014Q1","Slovenia","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Rejected","Person","0",""
"2014Q1","Slovenia","Russia","Total","Total","Total","Person","0",""
"2014Q1","Slovenia","Russia","Total","Total","Total positive decisions","Person","0",""
"2014Q1","Slovenia","Russia","Total","Total","Rejected","Person","0",""
"2014Q1","Slovenia","Extra EU-28","Total","Total","Total","Person","15",""
"2014Q1","Slovenia","Extra EU-28","Total","Total","Total positive decisions","Person","5",""
"2014Q1","Slovenia","Extra EU-28","Total","Total","Rejected","Person","10",""
"2014Q1","Slovenia","Eritrea","Total","Total","Total","Person","0",""
"2014Q1","Slovenia","Eritrea","Total","Total","Total positive decisions","Person","0",""
"2014Q1","Slovenia","Eritrea","Total","Total","Rejected","Person","0",""
"2014Q1","Slovenia","Afghanistan","Total","Total","Total","Person","0",""
"2014Q1","Slovenia","Afghanistan","Total","Total","Total positive decisions","Person","0",""
"2014Q1","Slovenia","Afghanistan","Total","Total","Rejected","Person","0",""
"2014Q1","Slovenia","Pakistan","Total","Total","Total","Person","0",""
"2014Q1","Slovenia","Pakistan","Total","Total","Total positive decisions","Person","0",""
"2014Q1","Slovenia","Pakistan","Total","Total","Rejected","Person","0",""
"2014Q1","Slovenia","Iraq","Total","Total","Total","Person","0",""
"2014Q1","Slovenia","Iraq","Total","Total","Total positive decisions","Person","0",""
"2014Q1","Slovenia","Iraq","Total","Total","Rejected","Person","0",""
"2014Q1","Slovenia","Syria","Total","Total","Total","Person","5",""
"2014Q1","Slovenia","Syria","Total","Total","Total positive decisions","Person","5",""
"2014Q1","Slovenia","Syria","Total","Total","Rejected","Person","0",""
"2014Q1","Slovenia","Total","Total","Total","Total","Person","15",""
"2014Q1","Slovenia","Total","Total","Total","Total positive decisions","Person","5",""
"2014Q1","Slovenia","Total","Total","Total","Rejected","Person","10",""
"2014Q1","Sweden","Albania","Total","Total","Total","Person","145",""
"2014Q1","Sweden","Albania","Total","Total","Total positive decisions","Person","0",""
"2014Q1","Sweden","Albania","Total","Total","Rejected","Person","145",""
"2014Q1","Sweden","Serbia","Total","Total","Total","Person","205",""
"2014Q1","Sweden","Serbia","Total","Total","Total positive decisions","Person","0",""
"2014Q1","Sweden","Serbia","Total","Total","Rejected","Person","205",""
"2014Q1","Sweden","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total","Person","125",""
"2014Q1","Sweden","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total positive decisions","Person","5",""
"2014Q1","Sweden","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Rejected","Person","120",""
"2014Q1","Sweden","Russia","Total","Total","Total","Person","100",""
"2014Q1","Sweden","Russia","Total","Total","Total positive decisions","Person","35",""
"2014Q1","Sweden","Russia","Total","Total","Rejected","Person","65",""
"2014Q1","Sweden","Extra EU-28","Total","Total","Total","Person","10,010",""
"2014Q1","Sweden","Extra EU-28","Total","Total","Total positive decisions","Person","7,945",""
"2014Q1","Sweden","Extra EU-28","Total","Total","Rejected","Person","2,065",""
"2014Q1","Sweden","Eritrea","Total","Total","Total","Person","915",""
"2014Q1","Sweden","Eritrea","Total","Total","Total positive decisions","Person","910",""
"2014Q1","Sweden","Eritrea","Total","Total","Rejected","Person","0",""
"2014Q1","Sweden","Afghanistan","Total","Total","Total","Person","380",""
"2014Q1","Sweden","Afghanistan","Total","Total","Total positive decisions","Person","265",""
"2014Q1","Sweden","Afghanistan","Total","Total","Rejected","Person","115",""
"2014Q1","Sweden","Pakistan","Total","Total","Total","Person","30",""
"2014Q1","Sweden","Pakistan","Total","Total","Total positive decisions","Person","0",""
"2014Q1","Sweden","Pakistan","Total","Total","Rejected","Person","25",""
"2014Q1","Sweden","Iraq","Total","Total","Total","Person","175",""
"2014Q1","Sweden","Iraq","Total","Total","Total positive decisions","Person","65",""
"2014Q1","Sweden","Iraq","Total","Total","Rejected","Person","110",""
"2014Q1","Sweden","Syria","Total","Total","Total","Person","4,525",""
"2014Q1","Sweden","Syria","Total","Total","Total positive decisions","Person","4,520",""
"2014Q1","Sweden","Syria","Total","Total","Rejected","Person","10",""
"2014Q1","Sweden","Total","Total","Total","Total","Person","10,035",""
"2014Q1","Sweden","Total","Total","Total","Total positive decisions","Person","7,945",""
"2014Q1","Sweden","Total","Total","Total","Rejected","Person","2,090",""
"2014Q1","United Kingdom","Albania","Total","Total","Total","Person","180",""
"2014Q1","United Kingdom","Albania","Total","Total","Total positive decisions","Person","30",""
"2014Q1","United Kingdom","Albania","Total","Total","Rejected","Person","150",""
"2014Q1","United Kingdom","Serbia","Total","Total","Total","Person","0",""
"2014Q1","United Kingdom","Serbia","Total","Total","Total positive decisions","Person","0",""
"2014Q1","United Kingdom","Serbia","Total","Total","Rejected","Person","0",""
"2014Q1","United Kingdom","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total","Person","5",""
"2014Q1","United Kingdom","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total positive decisions","Person","0",""
"2014Q1","United Kingdom","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Rejected","Person","5",""
"2014Q1","United Kingdom","Russia","Total","Total","Total","Person","20",""
"2014Q1","United Kingdom","Russia","Total","Total","Total positive decisions","Person","10",""
"2014Q1","United Kingdom","Russia","Total","Total","Rejected","Person","10",""
"2014Q1","United Kingdom","Extra EU-28","Total","Total","Total","Person","3,590",""
"2014Q1","United Kingdom","Extra EU-28","Total","Total","Total positive decisions","Person","1,350",""
"2014Q1","United Kingdom","Extra EU-28","Total","Total","Rejected","Person","2,235",""
"2014Q1","United Kingdom","Eritrea","Total","Total","Total","Person","280",""
"2014Q1","United Kingdom","Eritrea","Total","Total","Total positive decisions","Person","215",""
"2014Q1","United Kingdom","Eritrea","Total","Total","Rejected","Person","65",""
"2014Q1","United Kingdom","Afghanistan","Total","Total","Total","Person","235",""
"2014Q1","United Kingdom","Afghanistan","Total","Total","Total positive decisions","Person","85",""
"2014Q1","United Kingdom","Afghanistan","Total","Total","Rejected","Person","145",""
"2014Q1","United Kingdom","Pakistan","Total","Total","Total","Person","610",""
"2014Q1","United Kingdom","Pakistan","Total","Total","Total positive decisions","Person","110",""
"2014Q1","United Kingdom","Pakistan","Total","Total","Rejected","Person","500",""
"2014Q1","United Kingdom","Iraq","Total","Total","Total","Person","95",""
"2014Q1","United Kingdom","Iraq","Total","Total","Total positive decisions","Person","50",""
"2014Q1","United Kingdom","Iraq","Total","Total","Rejected","Person","45",""
"2014Q1","United Kingdom","Syria","Total","Total","Total","Person","250",""
"2014Q1","United Kingdom","Syria","Total","Total","Total positive decisions","Person","210",""
"2014Q1","United Kingdom","Syria","Total","Total","Rejected","Person","40",""
"2014Q1","United Kingdom","Total","Total","Total","Total","Person","3,630",""
"2014Q1","United Kingdom","Total","Total","Total","Total positive decisions","Person","1,350",""
"2014Q1","United Kingdom","Total","Total","Total","Rejected","Person","2,280",""
"2014Q1","Switzerland","Albania","Total","Total","Total","Person","15",""
"2014Q1","Switzerland","Albania","Total","Total","Total positive decisions","Person","0",""
"2014Q1","Switzerland","Albania","Total","Total","Rejected","Person","15",""
"2014Q1","Switzerland","Serbia","Total","Total","Total","Person","65",""
"2014Q1","Switzerland","Serbia","Total","Total","Total positive decisions","Person","20",""
"2014Q1","Switzerland","Serbia","Total","Total","Rejected","Person","50",""
"2014Q1","Switzerland","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total","Person","120",""
"2014Q1","Switzerland","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total positive decisions","Person","30",""
"2014Q1","Switzerland","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Rejected","Person","90",""
"2014Q1","Switzerland","Russia","Total","Total","Total","Person","80",""
"2014Q1","Switzerland","Russia","Total","Total","Total positive decisions","Person","45",""
"2014Q1","Switzerland","Russia","Total","Total","Rejected","Person","35",""
"2014Q1","Switzerland","Extra EU-28","Total","Total","Total","Person","5,830",""
"2014Q1","Switzerland","Extra EU-28","Total","Total","Total positive decisions","Person","3,875",""
"2014Q1","Switzerland","Extra EU-28","Total","Total","Rejected","Person","1,955",""
"2014Q1","Switzerland","Eritrea","Total","Total","Total","Person","1,225",""
"2014Q1","Switzerland","Eritrea","Total","Total","Total positive decisions","Person","1,155",""
"2014Q1","Switzerland","Eritrea","Total","Total","Rejected","Person","70",""
"2014Q1","Switzerland","Afghanistan","Total","Total","Total","Person","590",""
"2014Q1","Switzerland","Afghanistan","Total","Total","Total positive decisions","Person","520",""
"2014Q1","Switzerland","Afghanistan","Total","Total","Rejected","Person","70",""
"2014Q1","Switzerland","Pakistan","Total","Total","Total","Person","35",""
"2014Q1","Switzerland","Pakistan","Total","Total","Total positive decisions","Person","5",""
"2014Q1","Switzerland","Pakistan","Total","Total","Rejected","Person","30",""
"2014Q1","Switzerland","Iraq","Total","Total","Total","Person","140",""
"2014Q1","Switzerland","Iraq","Total","Total","Total positive decisions","Person","115",""
"2014Q1","Switzerland","Iraq","Total","Total","Rejected","Person","20",""
"2014Q1","Switzerland","Syria","Total","Total","Total","Person","930",""
"2014Q1","Switzerland","Syria","Total","Total","Total positive decisions","Person","890",""
"2014Q1","Switzerland","Syria","Total","Total","Rejected","Person","40",""
"2014Q1","Switzerland","Total","Total","Total","Total","Person","5,850",""
"2014Q1","Switzerland","Total","Total","Total","Total positive decisions","Person","3,875",""
"2014Q1","Switzerland","Total","Total","Total","Rejected","Person","1,975",""
"2014Q2","Belgium","Albania","Total","Total","Total","Person","130",""
"2014Q2","Belgium","Albania","Total","Total","Total positive decisions","Person","20",""
"2014Q2","Belgium","Albania","Total","Total","Rejected","Person","110",""
"2014Q2","Belgium","Serbia","Total","Total","Total","Person","95",""
"2014Q2","Belgium","Serbia","Total","Total","Total positive decisions","Person","10",""
"2014Q2","Belgium","Serbia","Total","Total","Rejected","Person","80",""
"2014Q2","Belgium","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total","Person","115",""
"2014Q2","Belgium","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total positive decisions","Person","15",""
"2014Q2","Belgium","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Rejected","Person","100",""
"2014Q2","Belgium","Russia","Total","Total","Total","Person","360",""
"2014Q2","Belgium","Russia","Total","Total","Total positive decisions","Person","105",""
"2014Q2","Belgium","Russia","Total","Total","Rejected","Person","255",""
"2014Q2","Belgium","Extra EU-28","Total","Total","Total","Person","4,715",""
"2014Q2","Belgium","Extra EU-28","Total","Total","Total positive decisions","Person","1,760",""
"2014Q2","Belgium","Extra EU-28","Total","Total","Rejected","Person","2,955",""
"2014Q2","Belgium","Eritrea","Total","Total","Total","Person","55",""
"2014Q2","Belgium","Eritrea","Total","Total","Total positive decisions","Person","45",""
"2014Q2","Belgium","Eritrea","Total","Total","Rejected","Person","15",""
"2014Q2","Belgium","Afghanistan","Total","Total","Total","Person","505",""
"2014Q2","Belgium","Afghanistan","Total","Total","Total positive decisions","Person","305",""
"2014Q2","Belgium","Afghanistan","Total","Total","Rejected","Person","195",""
"2014Q2","Belgium","Pakistan","Total","Total","Total","Person","150",""
"2014Q2","Belgium","Pakistan","Total","Total","Total positive decisions","Person","25",""
